Chapter	FA Number	Functional Area	VARF Code	Legacy Code
100	1	Medical / Surgical Inpatient Unit Calculation	SC148	CALC1
100	2	Medical / Surgical Inpatient Unit Reception Area	SB003	WRC01
100	2	Medical / Surgical Inpatient Unit Reception Area	SB086	WRF01
100	2	Medical / Surgical Inpatient Unit Reception Area	SC170	CLSC1
100	2	Medical / Surgical Inpatient Unit Reception Area	SV272	NCWD1
100	2	Medical / Surgical Inpatient Unit Reception Area	SV422	OFDC2
100	2	Medical / Surgical Inpatient Unit Reception Area	TLTF3	TLTF3
100	2	Medical / Surgical Inpatient Unit Reception Area	TLTU1	TLTU1
100	3	Medical / Surgical Inpatient Unit Patient Area	IMS25	BRIT2
100	3	Medical / Surgical Inpatient Unit Patient Area	IMS26	BRAR2
100	3	Medical / Surgical Inpatient Unit Patient Area	IMS27	BRBA1
100	3	Medical / Surgical Inpatient Unit Patient Area	IPT01	BRMS1
100	3	Medical / Surgical Inpatient Unit Patient Area	IPT03	BRIT1
100	3	Medical / Surgical Inpatient Unit Patient Area	IPT04	BRAR1
100	3	Medical / Surgical Inpatient Unit Patient Area	RSH12	TLTS2
100	3	Medical / Surgical Inpatient Unit Patient Area	RSH62	DAYR1
100	3	Medical / Surgical Inpatient Unit Patient Area	TLTB1	TLTB1
100	4	Medical / Surgical Inpatient Unit Support Area	IMS44	NSTA3
100	4	Medical / Surgical Inpatient Unit Support Area	MEDP1	MEDP1
100	4	Medical / Surgical Inpatient Unit Support Area	SB261	SRLW2
100	4	Medical / Surgical Inpatient Unit Support Area	SB737	UCCL1
100	4	Medical / Surgical Inpatient Unit Support Area	SB743	USCL1
100	4	Medical / Surgical Inpatient Unit Support Area	SC007	RCA01
100	4	Medical / Surgical Inpatient Unit Support Area	SC099	XRM01
100	4	Medical / Surgical Inpatient Unit Support Area	SC251	NSTA1
100	4	Medical / Surgical Inpatient Unit Support Area	SC445	LCCL2
100	4	Medical / Surgical Inpatient Unit Support Area	SRGC2	SRGC2
100	4	Medical / Surgical Inpatient Unit Support Area	SRSE1	SRSE1
100	4	Medical / Surgical Inpatient Unit Support Area	SS212	WRCH1
100	4	Medical / Surgical Inpatient Unit Support Area	SV272	NCWD1
100	4	Medical / Surgical Inpatient Unit Support Area	SV549	JANC1
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	SC648	CRA01
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	SS205	OFA09
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	SS218	OFA07
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	SS262	SL001
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	SS272	RPR01
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	SS282	LR001
100	5	Medical / Surgical Inpatient Unit Staff and Administrative Area	TLTU1	TLTU1
100	6	Common Support Area	SB267	UTR01
100	6	Common Support Area	SB695	MMRP2
100	6	Common Support Area	SB701	MMRP3
100	6	Common Support Area	SC001	DL001
100	6	Common Support Area	SC213	UTLC3
100	6	Common Support Area	SC257	UTLC2
100	6	Common Support Area	SRE01	SRE01
100	6	Common Support Area	SV648	SRS01
100	7	Common Staff and Administrative Area	SS218	OFA07
100	8	Education Area	RPT52	CLR01
100	8	Education Area	SS205	OFA09
100	8	Education Area	SS218	OFA07
102	1	Intensive Care Nursint Unit Calculation	SC148	CALC1
102	2	Intensive Care Nursing Unit Reception Area	SB003	WRC01
102	2	Intensive Care Nursing Unit Reception Area	SB086	WRF01
102	2	Intensive Care Nursing Unit Reception Area	SC170	CLSC1
102	2	Intensive Care Nursing Unit Reception Area	SV272	NCWD1
102	2	Intensive Care Nursing Unit Reception Area	SV422	OFDC2
102	2	Intensive Care Nursing Unit Reception Area	TLTF3	TLTF3
102	2	Intensive Care Nursing Unit Reception Area	TLTU1	TLTU1
102	3	Intensive Care Nursing Unit Patient Area	IIC21	BRIC1
102	3	Intensive Care Nursing Unit Patient Area	IIC26	BRII1
102	3	Intensive Care Nursing Unit Patient Area	IIC31	BRII2
102	3	Intensive Care Nursing Unit Patient Area	IMS26	BRAR2
102	3	Intensive Care Nursing Unit Patient Area	IPT04	BRAR1
102	3	Intensive Care Nursing Unit Patient Area	RSH12	TLTS2
102	3	Intensive Care Nursing Unit Patient Area	SV422	OFDC2
102	3	Intensive Care Nursing Unit Patient Area	TLTU1	TLTU1
102	4	Intensive Care Nursing Unit Support Area	IMS44	NSTA3
102	4	Intensive Care Nursing Unit Support Area	MEDP1	MEDP1
102	4	Intensive Care Nursing Unit Support Area	SB262	SRLW1
102	4	Intensive Care Nursing Unit Support Area	SB737	UCCL1
102	4	Intensive Care Nursing Unit Support Area	SB743	USCL1
102	4	Intensive Care Nursing Unit Support Area	SC007	RCA01
102	4	Intensive Care Nursing Unit Support Area	SC099	XRM01
102	4	Intensive Care Nursing Unit Support Area	SC251	NSTA1
102	4	Intensive Care Nursing Unit Support Area	SC445	LCCL2
102	4	Intensive Care Nursing Unit Support Area	SRGC2	SRGC2
102	4	Intensive Care Nursing Unit Support Area	SRSE1	SRSE1
102	4	Intensive Care Nursing Unit Support Area	SS212	WRCH1
102	4	Intensive Care Nursing Unit Support Area	SV272	NCWD1
102	4	Intensive Care Nursing Unit Support Area	SV549	JANC1
102	5	Intensive Care Nursing Unit Staff and Administrative Area	SS205	OFA09
102	5	Intensive Care Nursing Unit Staff and Administrative Area	SS218	OFA07
102	5	Intensive Care Nursing Unit Staff and Administrative Area	SS262	SL001
102	5	Intensive Care Nursing Unit Staff and Administrative Area	SS272	RPR01
102	5	Intensive Care Nursing Unit Staff and Administrative Area	SS282	LR001
102	5	Intensive Care Nursing Unit Staff and Administrative Area	SS287	DUTY1
102	5	Intensive Care Nursing Unit Staff and Administrative Area	TLTS1	TLTS1
102	5	Intensive Care Nursing Unit Staff and Administrative Area	TLTU1	TLTU1
102	6	Support Area	SB267	UTR01
102	6	Support Area	SB695	MMRP2
102	6	Support Area	SB701	MMRP3
102	6	Support Area	SC213	UTLC3
102	6	Support Area	SC257	UTLC2
102	6	Support Area	SV648	SRS01
102	7	Staff and Administrative Area	SS218	OFA07
102	8	Education Area	RPT52	CLR01
102	8	Education Area	SS205	OFA09
102	8	Education Area	SS218	OFA07
104	1	Patient Care Unit Calculation	SC148	CALC1
104	2	Reception Area	RECP3	RECP3
104	2	Reception Area	SB003	WRC01
104	2	Reception Area	SV422	OFDC2
104	2	Reception Area	TLTU1	TLTU1
104	3	Acute Care (AC) Unit Patient Area	IPT01	BRMS1
104	3	Acute Care (AC) Unit Patient Area	IPT03	BRIT1
104	3	Acute Care (AC) Unit Patient Area	IPT04	BRAR1
104	3	Acute Care (AC) Unit Patient Area	RSH12	TLTS2
104	3	Acute Care (AC) Unit Patient Area	RSH41	LAUN1
104	3	Acute Care (AC) Unit Patient Area	RSH62	DAYR1
104	3	Acute Care (AC) Unit Patient Area	SV272	NCWD1
104	3	Acute Care (AC) Unit Patient Area	SV422	OFDC2
104	3	Acute Care (AC) Unit Patient Area	TLTU1	TLTU1
104	4	Long Term Care (LTC) Unit Patient Area	BRMS2	BRMS2
104	4	Long Term Care (LTC) Unit Patient Area	IPT01	BRMS1
104	4	Long Term Care (LTC) Unit Patient Area	IPT03	BRIT1
