"RoomCode","LocationCount","DepartmentCount","FACount","Departments","FAs","Locations"
"CCD56","1","1","1","210 (CARDIOLOGY SERVICE)","CARDIOLOGY SUPPORT AREA","210 (CARDIOLOGY SERVICE) | CARDIOLOGY SUPPORT AREA"
"CRT37","1","1","1","277 (RADIATION THERAPY SERVICE)","SUPPORT AREA","277 (RADIATION THERAPY SERVICE) | SUPPORT AREA"
"IPT85","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","PRC PATIENT CARE UNIT THERAPY AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC PATIENT CARE UNIT THERAPY AREA"
"OPT43","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","OUTPATIENT UNIT THERAPY AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | OUTPATIENT UNIT THERAPY AREA"
"IPT18","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","PRC PATIENT CARE UNIT SUPPORT AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC PATIENT CARE UNIT SUPPORT AREA"
"SB210","6","4","6","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)); 269 (RECREATION THERAPY SERVICE); 270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE); 286 (SURGICAL / ENDOVASCULAR SERVICES)","SCI/D CENTER AQUATIC THERAPY (AT) AREA; SELF-DIRECTED THERAPY AREA; AQUATIC THERAPY AREA; AQUATIC THERAPY (AT) AREA; INPATIENT (IP) SURGICAL / ENDOVASCULAR PRE-OPERATIVE HOLDING / PHASE II RECOVERY PATIENT AREA; AMBULATORY SURGERY CENTER (ASC) PRE-OPERATIVE HOLDING / PHASE II RECOVERY PATIENT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER AQUATIC THERAPY (AT) AREA; 269 (RECREATION THERAPY SERVICE) | SELF-DIRECTED THERAPY AREA; 269 (RECREATION THERAPY SERVICE) | AQUATIC THERAPY AREA; 270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | AQUATIC THERAPY (AT) AREA; 286 (SURGICAL / ENDOVASCULAR SERVICES) | INPATIENT (IP) SURGICAL / ENDOVASCULAR PRE-OPERATIVE HOLDING / PHASE II RECOVERY PATIENT AREA; 286 (SURGICAL / ENDOVASCULAR SERVICES) | AMBULATORY SURGERY CENTER (ASC) PRE-OPERATIVE HOLDING / PHASE II RECOVERY PATIENT AREA"
"SS227","1","1","1","246 (HEALTH ADMINISTRATION SERVICE)","HEALTH INFORMATION MANAGEMENT SECTION (HIMS)","246 (HEALTH ADMINISTRATION SERVICE) | HEALTH INFORMATION MANAGEMENT SECTION (HIMS)"
"CT105","1","1","1","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE)","OCCUPATIONAL THERAPY (OT) AREA","270 (PHYSICAL MEDICINE AND REHABILITATION SERVICE) | OCCUPATIONAL THERAPY (OT) AREA"
"CPR23","1","1","1","308 (PROSTHETICS AND SENSORY AIDS SERVICE)","SUPPORT AREA","308 (PROSTHETICS AND SENSORY AIDS SERVICE) | SUPPORT AREA"
"CGE61","1","1","1","287 (GASTROINTESTINAL / ENDOSCOPY SERVICE)","SUPPORT AREA","287 (GASTROINTESTINAL / ENDOSCOPY SERVICE) | SUPPORT AREA"
"RSH36","1","1","1","106 (SMALL HOUSE (SH) MODEL)","HOUSE RESIDENT AREA","106 (SMALL HOUSE (SH) MODEL) | HOUSE RESIDENT AREA"
"CI301","1","1","1","295 (IMAGING SERVICES)","IMAGING SERVICES SUPPORT AREA","295 (IMAGING SERVICES) | IMAGING SERVICES SUPPORT AREA"
"SB205","1","1","1","110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU))","PATIENT CARE UNIT (PCU) PATIENT COMMON AREA","110 (MENTAL HEALTH PATIENT CARE UNIT (MH PCU)) | PATIENT CARE UNIT (PCU) PATIENT COMMON AREA"
"OSC16","1","1","1","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D))","SCI/D CENTER OUTPATIENT (OP) PATIENT AREA","104 (SPINAL CORD INJURY / DISORDERS CENTER (SCI/D)) | SCI/D CENTER OUTPATIENT (OP) PATIENT AREA"
"CEY41","1","1","1","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES)","OPHTHALMOLOGY SERVICE SUPPORT AREA","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES) | OPHTHALMOLOGY SERVICE SUPPORT AREA"
"OPTM1","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","MULTI-SPECIALTY CLINIC","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | MULTI-SPECIALTY CLINIC"
"EYOT4","1","1","1","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM)","EYE CLINIC","263 (COMMUNITY BASED OUTPATIENT CLINIC (PACT) INTERIM) | EYE CLINIC"
"CT303","1","1","1","269 (RECREATION THERAPY SERVICE)","RECREATION / CREATIVE ARTS THERAPY AREA","269 (RECREATION THERAPY SERVICE) | RECREATION / CREATIVE ARTS THERAPY AREA"
"CEY22","1","1","1","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES)","OPHTHALMOLOGY SERVICE PATIENT AREA","233 (EYE CLINIC: OPHTHALMOLOGY AND OPTOMETRY SERVICES) | OPHTHALMOLOGY SERVICE PATIENT AREA"
"SB658","1","1","1","111 (POLYTRAUMA REHABILITATION CENTER (PRC))","PRC STAFF AND ADMINISTRATIVE AREA","111 (POLYTRAUMA REHABILITATION CENTER (PRC)) | PRC STAFF AND ADMINISTRATIVE AREA"
"SB679","1","1","1","106 (SMALL HOUSE (SH) MODEL)","COMMUNITY CENTER SUPPORT AREA","106 (SMALL HOUSE (SH) MODEL) | COMMUNITY CENTER SUPPORT AREA"
"CUC25","1","1","1","257 (URGENT CARE)","PATIENT AREA","257 (URGENT CARE) | PATIENT AREA"
