Chapter	FA Number	FA Name	Room ID	Room Code	Room Name	Floor	Base	Wall	Wain	Ceiling	Door	Hardware
0			1001	N/A*	Large Telephone Equipment Room	m:EPY	"m:RB h:4"""	m:GWB [34] f:P m:EXP			m:Wood t:19 s:SS m:Steel t:20 s:SS	hw:11
0			1002	N/A*	Electric, Telephone and Signal Closets	m:EPY	"m:RB h:4"""	m:GWB [34] f:P m:EXP			m:Wood t:1 s:SS m:Steel t:2 s:SS	hw:5D
0			1003	N/A*	Electric, Telephone and Signal Closets (wider than 6-ft. and with 1200 amp or higher devices)	m:EPY	"m:RB h:4"""	m:GWB [34] f:P m:EXP			m:Wood t:19 s:SS m:Steel t:20 [17] s:SS	hw:6G
0			1004	N/A*	Mechanical Equipment Room	m:EPY	"m:RB h:4"""	m:GWB [64] f:P m:EXP			m:Wood t:19 s:VV m:Steel t:20 s:VV	hw:5G
0			1005	N/A*	Elevator Machine Room	m:EPY	"m:RB h:4"""	m:GWB [64] f:P m:EXP			m:Wood t:19 s:V m:Steel t:20 s:V	hw:5G
0			1006	N/A*	Passenger Elevator Lobbies	m:LVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC [54] h:4'0"""		m:AT	m:Steel t:40 dg:T (ID) s:VV m:Steel t:42 dg:T (ID) s:VV	hw:8
0			1007	N/A*	Service Elevator Lobbies	"m:RES m:RES h:4"""		"m:GWB f:P m:CMU f:P m:RWC h:4'-0"" [54]"		m:AT	m:Steel t:40 dg:T (ID) s:VV m:Steel t:42 dg:T (ID) s:VV	hw:8
0			1008	N/A*	Elevator Cab	"m:TT m:TT h:4"" m:PRE-FAB [39]"					m:PRE-FAB t:PRE-FAB	hw:N/A
0			1009	N/A*	Stairs and Stairwells	m:RF [25]	"m:RB h:4"""	m:GWB f:P m:CMU f:P m:EXP			m:Steel t:40 dg:T ds:YES (ID) s:S [17] m:Steel t:42 dg:T ds:YES (ID) s:S [17]	hw:SH-4
0			1010	N/A*	Corridors (Secure)	m:LVT m:SVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""		m:AT	m:Steel t:40 dg:T ds:YES (ID) s:VV m:Steel [17] t:42 dg:T ds:YES s:VV	hw:SH10
0			1011	N/A*	Corridors (Secure, Automatic Operators)	m:LVT m:SVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC [52] h:4'0"""		m:AT	m:Steel t:40 da:ADO dg:T ds:YES (ID) s:VV [17] m:Steel t:42 da:ADO dg:T ds:YES (ID) s:VV [17]	hw:SH10A
0			1012	N/A*	Corridors (Non-Secure, Electronic Hold-Open)	m:LVT m:SVT	"m:RB h:4"""	"m:GWB [54] f:P m:RWC h:4'-0"""		m:AT	m:Steel t:40 dg:T (ID) s:VV [17] m:Steel t:42 dg:T (ID) s:VV [17]	hw:12C
